[2025-11-09 14:29:53,779:INFO:main:logging is implemented]
[2025-11-09 20:41:43,415:INFO:common:yaml file : config\config.yaml loaded successfully]
[2025-11-09 20:41:43,430:INFO:common:yaml file : params.yaml loaded successfully]
[2025-11-09 20:42:21,515:INFO:common:yaml file : config\config.yaml loaded successfully]
[2025-11-09 20:42:21,533:INFO:common:yaml file : params.yaml loaded successfully]
[2025-11-09 20:42:21,538:INFO:common:created directory at :artifacts]
[2025-11-09 20:42:21,542:INFO:common:created directory at :artifacts/data_ingestion]
[2025-11-09 20:42:27,477:INFO:1845653528:File is downloaded]
[2025-11-09 21:07:22,003:INFO:main:stage Data Ingestion stage initiated]
[2025-11-09 21:07:22,005:INFO:common:yaml file : config\config.yaml loaded successfully]
[2025-11-09 21:07:22,006:INFO:common:yaml file : params.yaml loaded successfully]
[2025-11-09 21:07:22,007:INFO:common:created directory at :artifacts]
[2025-11-09 21:07:22,007:INFO:common:created directory at :artifacts/data_ingestion]
[2025-11-09 21:07:25,891:INFO:data_ingestion:File is downloaded]
[2025-11-09 21:07:26,047:INFO:main:stage Data Ingestion stage completed]
